Identifiant national BSS|Ancien code national BSS|Code côte chronique|Côte chronique définie pour le point d'eau|Date de la mesure|Profondeur relative/repère de mesure|Côte NGF|Code continuité|Continuité|Code mode obtention|Mode obtention|Code qualification|Qualification de la mesure|Code statut de la mesure|Statut de la mesure|Code nature de la mesure|Nature de la mesure|Profondeur début site de mesure|Profondeur fin site de mesure|X_WGS84|Y_WGS84|Producteur de données|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|19/08/2005 00:00:00|7.15|156.03|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|20/08/2005 00:00:00|7.15|156.03|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|21/08/2005 00:00:00|7.15|156.03|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|22/08/2005 00:00:00|7.15|156.03|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|23/08/2005 00:00:00|7.15|156.03|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|24/08/2005 00:00:00|7.15|156.03|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|25/08/2005 00:00:00|7.07|156.11|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|26/08/2005 00:00:00|7.11|156.07|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|27/08/2005 00:00:00|7.15|156.03|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|28/08/2005 00:00:00|7.19|155.99|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|29/08/2005 00:00:00|7.19|155.99|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|30/08/2005 00:00:00|7.19|155.99|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|31/08/2005 00:00:00|7.19|155.99|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|01/09/2005 00:00:00|7.19|155.99|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|02/09/2005 00:00:00|7.21|155.97|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|03/09/2005 00:00:00|7.21|155.97|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|04/09/2005 00:00:00|7.23|155.95|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|05/09/2005 00:00:00|7.23|155.95|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|06/09/2005 00:00:00|7.23|155.95|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|07/09/2005 00:00:00|7.26|155.92|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|08/09/2005 00:00:00|7.26|155.92|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|09/09/2005 00:00:00|7.26|155.92|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|10/09/2005 00:00:00|7.26|155.92|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|11/09/2005 00:00:00|7.26|155.92|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|12/09/2005 00:00:00|7.28|155.90|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|13/09/2005 00:00:00|7.30|155.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|14/09/2005 00:00:00|7.30|155.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|15/09/2005 00:00:00|7.30|155.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|16/09/2005 00:00:00|7.28|155.90|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|17/09/2005 00:00:00|7.30|155.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|18/09/2005 00:00:00|7.30|155.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|19/09/2005 00:00:00|7.30|155.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|20/09/2005 00:00:00|7.30|155.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|21/09/2005 00:00:00|7.30|155.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|22/09/2005 00:00:00|7.30|155.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|23/09/2005 00:00:00|7.30|155.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|24/09/2005 00:00:00|7.32|155.86|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|25/09/2005 00:00:00|7.32|155.86|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|26/09/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|27/09/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|28/09/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|29/09/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|30/09/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|01/10/2005 00:00:00|7.32|155.86|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|02/10/2005 00:00:00|7.28|155.90|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|03/10/2005 00:00:00|7.30|155.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|04/10/2005 00:00:00|7.30|155.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|05/10/2005 00:00:00|7.32|155.86|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|06/10/2005 00:00:00|7.32|155.86|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|07/10/2005 00:00:00|7.32|155.86|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|08/10/2005 00:00:00|7.32|155.86|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|09/10/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|10/10/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|11/10/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|12/10/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|13/10/2005 00:00:00|7.32|155.86|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|14/10/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|15/10/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|16/10/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|17/10/2005 00:00:00|7.36|155.82|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|18/10/2005 00:00:00|7.36|155.82|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|19/10/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|20/10/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|21/10/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|22/10/2005 00:00:00|7.28|155.90|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|23/10/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|24/10/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|25/10/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|26/10/2005 00:00:00|7.36|155.82|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|27/10/2005 00:00:00|7.36|155.82|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|28/10/2005 00:00:00|7.38|155.80|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|29/10/2005 00:00:00|7.36|155.82|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|30/10/2005 00:00:00|7.36|155.82|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|31/10/2005 00:00:00|7.36|155.82|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|01/11/2005 00:00:00|7.28|155.90|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|02/11/2005 00:00:00|7.26|155.92|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|03/11/2005 00:00:00|7.26|155.92|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|04/11/2005 00:00:00|7.30|155.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|05/11/2005 00:00:00|7.34|155.84|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|06/11/2005 00:00:00|7.36|155.82|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|07/11/2005 00:00:00|7.38|155.80|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|08/11/2005 00:00:00|7.40|155.78|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|09/11/2005 00:00:00|7.40|155.78|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|10/11/2005 00:00:00|7.42|155.76|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|11/11/2005 00:00:00|7.42|155.76|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|12/11/2005 00:00:00|7.42|155.76|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|13/11/2005 00:00:00|7.40|155.78|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|14/11/2005 00:00:00|7.42|155.76|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|15/11/2005 00:00:00|7.42|155.76|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|16/11/2005 00:00:00|7.42|155.76|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|17/11/2005 00:00:00|7.42|155.76|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|18/11/2005 00:00:00|7.44|155.74|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|19/11/2005 00:00:00|7.46|155.72|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|20/11/2005 00:00:00|7.46|155.72|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|21/11/2005 00:00:00|7.46|155.72|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|22/11/2005 00:00:00|7.48|155.70|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
BSS000LAHL|01474X0048/P1|2|Profondeur relative|23/11/2005 00:00:00|7.48|155.70|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||||BRGM|
